accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,latitude,longitude,injuryStatusParticipant10,injuryStatusParticipant11,injuryStatusParticipant12,injuryStatusParticipant13,injuryStatusParticipant14,injuryStatusParticipant15,injuryStatusParticipant16,injuryStatusParticipant17,injuryStatusParticipant18,injuryStatusParticipant19,injuryStatusParticipant20
2017-01-15,5:03:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,275,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,тяжко травмований,,,,,,,,49.829865,23.964003,,,,,,,,,,,
2017-02-14,23:25:00,вівторок,місто,Львів,Галицький,вулиця,Куліша П.,35,,зіткнення з задньою частиною ТЗ,"перевищення безпечної швидкості, недодержання дистанції",4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,,,,,,49.84771,24.024251,,,,,,,,,,,
2017-01-17,9:03:00,вівторок,місто,Львів,Шевченківський,вулиця,Клепарівська,35,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,,,,,,,49.849883,24.015073,,,,,,,,,,,
2017-01-05,15:01:00,четвер,місто,Львів,Галицький,вулиця,Зелена,,,падіння пасажира,,2,без ушкоджень,легко травмований,,,,,,,,49.82511,24.048901,,,,,,,,,,,
2017-02-18,18:01:00,субота,місто,Львів,Залізничний,вулиця,Городоцька,300,,зіткнення бокове,,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,,,,,,49.821106,23.916308,,,,,,,,,,,
2017-02-08,10:14:00,середа,місто,Львів,Галицький,вулиця,Беринди П.,,"Перехрестя вул. Беринди П., - вул. Театральна",наїзд на інші види перешкод,перевищення безпечної швидкості,1,тяжко травмований,,,,,,,,,49.840909,24.029814,,,,,,,,,,,
2017-02-14,14:22:00,вівторок,місто,Львів,Франківський,вулиця,Кульпарківська,,,зіткнення з задньою частиною ТЗ,,4,без ушкоджень,без ушкоджень,тяжко травмований,тяжко травмований,,,,,,49.817219,23.986931,,,,,,,,,,,
2017-02-20,16:40:00,понеділок,місто,Львів,Сихівський,вулиця,Драгана М.,9,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,49.784884,24.056652,,,,,,,,,,,
2017-02-20,12:56:00,понеділок,місто,Львів,Франківський,вулиця,Володимира Великого,3,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.80825,24.016939,,,,,,,,,,,
2017-02-15,5:01:00,середа,місто,Львів,Сихівський,вулиця,Пимоненка М.,,,наїзд на інші види перешкод,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,,,,,,,49.809119,24.070873,,,,,,,,,,,
2017-02-22,18:50:00,середа,місто,Львів,Шевченківський,вулиця,Панча П.,10,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,помер у лікарні протягом 30 діб,,,,,,,,49.861344,24.015335,,,,,,,,,,,
2017-02-22,9:42:00,середа,місто,Львів,Франківський,вулиця,Кульпарківська,13,,зіткнення лобове,,2,легко травмований,без ушкоджень,,,,,,,,49.833457,23.990782,,,,,,,,,,,
2017-02-22,16:50:00,середа,місто,Львів,Сихівський,вулиця,Зелена,238,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.806547,24.061309,,,,,,,,,,,
2017-02-19,14:30:00,неділя,місто,Львів,Галицький,вулиця,Франка І.,44,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.832523,24.033757,,,,,,,,,,,
2017-02-25,16:30:00,субота,місто,Львів,Шевченківський,вулиця,Клепарівська,,Перехрестя вул. Клепарівська - вул. Вільна,зіткнення бокове,невиконання вимог сигналів регулювання,2,легко травмований,без ушкоджень,,,,,,,,49.84431,24.016537,,,,,,,,,,,
2017-02-21,21:41:00,вівторок,місто,Львів,Сихівський,вулиця,Стрийська,69,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,49.792891,24.016156,,,,,,,,,,,
