accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;injuryStatusParticipant3;injuryStatusParticipant4;injuryStatusParticipant5;injuryStatusParticipant6;latitude;longitude
2023-07-26;18:37:00;середа;місто;Львів;Сихівський;вулиця;Луганська;null;вул. Луганська - вул. Стрийська;зіткнення бокове;порушення правил проїзду перехресть;3;без ушкоджень;легко травмований;легко травмований;null;null;null;49.811883;24.022044
2023-08-28;8:50:00;понеділок;місто;Львів;Залізничний;вулиця;Городоцька;82;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.838328;24.006886
2023-06-30;18:01:00;п'ятниця;місто;Львів;Франківський;вулиця;Кульпарківська;null;null;наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.82638;23.989415
2023-08-18;15:05:00;п'ятниця;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;53;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.798265;24.050794
2023-07-28;11:04:00;п'ятниця;місто;Львів;Залізничний;вулиця;Виговського І.;32;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.825013;23.96763
2023-07-28;19:28:00;п'ятниця;місто;Львів;Сихівський;вулиця;Стрийська;57;null;зіткнення бокове;порушення правил маневрування, порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;null;null;null;null;49.797393;24.017393
2023-08-03;13:13:00;четвер;місто;Львів;Сихівський;вулиця;Сихівська;14;null;зіткнення лобове;невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;null;null;null;null;49.796281;24.063358
2023-08-23;22:23:00;середа;місто;Львів;Залізничний;вулиця;Шевченка Т.;19;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил маневрування, керування транспортним засобом у нетверезому стані;2;без ушкоджень;легко травмований;null;null;null;null;49.845462;24.008131
2023-08-04;17:26:00;п'ятниця;місто;Львів;Шевченківський;вулиця;Промислова;25;null;наїзд на пішохода - на нерегульованому пішохідному переході;неочікуваний вихід на проїзну частину;2;без ушкоджень;легко травмований;null;null;null;null;49.857458;24.042452
2023-08-23;8:35:00;середа;місто;Львів;Франківський;вулиця;Кульпарківська;141;null;наїзд на велосипедиста - на велосипедній доріжці;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.8046;23.98183
