accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,latitude,longitude
2018-06-23,15:22:00,субота,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",null,вул. Угорська,зіткнення бокове,порушення правил маневрування,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,null,49.81031,24.046154
2018-06-24,8:01:00,неділя,місто,Львів,Личаківський,вулиця,Пасічна,38,null,наїзд на інші види перешкод,перевищення безпечної швидкості,4,без ушкоджень,легко травмований,легко травмований,без ушкоджень,null,null,null,null,49.830927,24.06803
2018-07-07,17:02:00,субота,місто,Львів,Личаківський,вулиця,Погулянка,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.828081,24.056889
2018-06-27,11:40:00,середа,місто,Львів,Личаківський,вулиця,Личаківська,11,null,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.839792,24.039321
2018-06-28,19:28:00,четвер,місто,Львів,Галицький,проспект,"Чорновола В., просп.",null,"перехрестя Чорновола В., просп., - вул. Під Дубом",наїзд на пішохода - пішохід рухався у зустрічному напрямку,невиконання вимог сигналів регулювання,2,легко травмований,легко травмований,null,null,null,null,null,null,49.850478,24.024546
2018-06-05,23:25:00,вівторок,місто,Львів,Залізничний,вулиця,Виговського І.,100,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.812401,23.980612
2018-07-14,10:30:00,субота,місто,Львів,Шевченківський,вулиця,"Чорновола В., просп.",69,null,наїзд на пішохода - пішохід переходив дорогу поза межами пішохідного переходу,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.861492,24.017121
2018-06-30,13:01:00,субота,місто,Львів,Галицький,вулиця,Волоська,1,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.829606,24.032475
2018-07-16,9:29:00,понеділок,місто,Львів,Шевченківський,вулиця,Замарстинівська,null,перехрестя вул. Замарстинівська - вул. Липинського В.,зіткнення лобове,порушення правил проїзду перехресть,2,легко травмований,без ушкоджень,null,null,null,null,null,null,49.860355,24.026885
2018-06-19,0:44:00,вівторок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,154Б,null,наїзд на пішохода - стояв на проїздній частині,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,49.854531,23.984334
