accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,latitude,longitude
2021-08-09,14:10:00,понеділок,місто,Львів,Франківський,вулиця,Наукова,5,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",2,легко травмований,без ушкоджень,null,null,null,null,null,49.802216,24.007385
2021-08-06,4:10:00,п'ятниця,місто,Львів,Галицький,вулиця,Митрополита Андрея,10,null,"наїзд на транспортний засіб, що стоїть - по ходу руху",перевищення безпечної швидкості,2,легко травмований,легко травмований,null,null,null,null,null,49.836477,24.010416
2021-08-01,22:49:00,неділя,місто,Львів,Галицький,вулиця,Замарстинівська,14,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,49.84872,24.0278
2021-08-20,16:02:00,п'ятниця,місто,Львів,Франківський,вулиця,Стрийська,260,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.792056,24.015453
2021-08-21,19:56:00,субота,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",68,null,"наїзд на транспортний засіб, що стоїть - по ходу руху","недодержання дистанції,перевищення безпечної швидкості",2,легко травмований,без ушкоджень,null,null,null,null,null,49.789951,24.058696
2021-08-04,0:35:00,середа,місто,Львів,Шевченківський,вулиця,Замарстинівська,294,null,зіткнення лобове,недодержання дистанції,2,помер на місці дтп,без ушкоджень,null,null,null,null,null,49.885123,23.993196
2021-08-13,13:32:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Кульпарківська,226,null,наїзд на велосипедиста - на велосипедній доріжці,"порушення правил проїзду пішохідних переходів,порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,49.880518,23.981384
2021-08-15,16:10:00,неділя,місто,Львів,Личаківський,вулиця,Личаківська,54,null,зіткнення з задньою частиною тз,недодержання дистанції,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,49.839834,24.049072
2021-07-28,11:15:00,середа,місто,Львів,Шевченківський,вулиця,Липинського В.,50Б,null,зіткнення бокове,"виїзд на смугу зустрічного руху,керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,49.864692,24.04011
2021-08-03,13:40:00,вівторок,місто,Львів,Франківський,вулиця,Бойчука М.,38,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.813273,23.995369
2021-09-22,20:48:00,середа,місто,Львів,Сихівський,вулиця,Зелена,407,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,тяжко травмований,null,null,null,null,null,49.785968,24.076511
2021-10-03,21:50:00,неділя,місто,Львів,Личаківський,вулиця,Глинянський Тракт,163,null,наїзд на пішохода,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.842094,24.1021
2021-09-23,16:01:00,четвер,місто,Львів,Залізничний,вулиця,Патона Є.,null,Арсен,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.823338,23.958757
2021-10-01,16:55:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,105,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,4,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,49.838773,24.054049
2021-09-27,17:39:00,понеділок,місто,Львів,Сихівський,вулиця,Литвиненка С.,8,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,49.813564,24.039829
2021-09-23,14:10:00,четвер,місто,Львів,Франківський,вулиця,Музики Я.,null,вул. Музики Я. - вул. Сонячна,зіткнення бокове,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.815094,23.996576
2021-09-29,14:40:00,середа,місто,Львів,Сихівський,вулиця,Сихівська,14,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.796094,24.062591
2021-09-25,23:55:00,субота,місто,Львів,Залізничний,вулиця,Широка,100,null,наїзд на інші види перешкод,"перевищення безпечної швидкості,недодержання дистанції,керування транспортним засобом у нетверезому стані",2,легко травмований,легко травмований,null,null,null,null,null,49.842688,23.959905
2021-09-27,16:27:00,понеділок,місто,Львів,Сихівський,вулиця,Демнянська,26,null,наїзд на пішохода - пішохід рухався у попутному напрямку,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.798123,24.028709
2021-09-24,20:30:00,п'ятниця,місто,Львів,Франківський,вулиця,Городоцька,138,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,49.833367,23.983777
2021-09-19,12:38:00,неділя,місто,Львів,Залізничний,вулиця,Любінська,152,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,49.819992,23.965216
2021-09-23,16:50:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,359,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.821321,23.921925
2021-09-17,15:01:00,п'ятниця,місто,Львів,Галицький,вулиця,Свєнціцького І.,17,null,наїзд на пішохода - на нерегульованому пішохідному переході,"порушення правил маневрування,порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,49.822994,24.037498
2021-10-01,12:56:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,174,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.830551,23.967752
2021-10-11,21:01:00,понеділок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",79,null,наїзд на пішохода - пішохід рухався у попутному напрямку,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,49.794986,24.056861
2021-09-22,12:31:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,26,null,зіткнення бокове,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.823854,24.006779
2021-09-30,23:06:00,четвер,місто,Львів,Франківський,вулиця,Копистинського Т.,3,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,"перевищення безпечної швидкості,порушення правил проїзду пішохідних переходів,керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,49.829194,23.988208
2021-09-25,15:40:00,субота,місто,Львів,Сихівський,вулиця,Стрийська,null,Перехрестя вул. Стрийська - вул. Рубчака,"наїзд на транспортний засіб, що стоїть - по ходу руху","перевищення безпечної швидкості,недодержання дистанції",4,без ушкоджень,легко травмований,без ушкоджень,легко травмований,null,null,null,49.805146,24.018821
2021-09-22,20:52:00,середа,місто,Львів,Сихівський,вулиця,Морозна,null,вул. Морозна - вул. Сихівська,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,49.79545,24.069307
2021-09-08,2:40:00,середа,місто,Львів,Шевченківський,вулиця,Базарна,11,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.84623,24.018683
2021-10-06,16:27:00,середа,місто,Львів,Шевченківський,вулиця,"Івана Мазепи І., гетьм.",23,null,наїзд на пішохода,порушення правил проїзду пішохідних переходів,1,легко травмований,null,null,null,null,null,null,49.871925,24.038708
2021-09-20,10:30:00,понеділок,місто,Львів,Шевченківський,вулиця,Замарстинівська,54,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості,недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,49.854189,24.028435
2021-09-24,20:50:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,225,null,зіткнення бокове,"керування транспортним засобом у нетверезому стані,порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,49.864031,24.05243
2021-10-07,8:40:00,четвер,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,225,null,наїзд на пішохода,"порушення правил маневрування,порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,49.863986,24.052361
2021-09-30,19:30:00,четвер,місто,Львів,Шевченківський,вулиця,Липинського В.,54,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,"порушення правил проїзду пішохідних переходів,керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,49.862952,24.031493
2021-09-24,13:01:00,п'ятниця,місто,Львів,Галицький,вулиця,Коперника М.,40,null,наїзд на пішохода - на регульованому пішохідному переході,"порушення правил маневрування,порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,49.836109,24.022442
2021-09-18,12:50:00,субота,місто,Львів,Шевченківський,вулиця,Замарстинівська,67,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.856921,24.027566
2021-10-06,7:53:00,середа,місто,Львів,Залізничний,вулиця,Виговського І.,21,null,наїзд на пішохода,порушення правил обгону,2,без ушкоджень,легко травмований,null,null,null,null,null,49.825321,23.967678
2021-09-20,23:20:00,понеділок,місто,Львів,Шевченківський,вулиця,Студинського К.,15,null,наїзд на пішохода - на регульованому пішохідному переході,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.879219,24.043268
2021-10-12,14:36:00,вівторок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,34,null,зіткнення бокове,перевищення безпечної швидкості,2,легко травмований,без ушкоджень,null,null,null,null,null,49.8435,24.013785
2021-09-30,9:02:00,четвер,місто,Львів,Сихівський,вулиця,Мирного Панаса,null,Перехрестя вул. Мирного Панаса - вул. Ярославенка Я.,наїзд на велосипедиста - поза межами велосипедної доріжки,"порушення правил маневрування,порушення правил проїзду перехресть",2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,49.815052,24.032121
2021-09-21,21:21:00,вівторок,місто,Львів,Франківський,вулиця,Городоцька,165,null,перекидання тз,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,49.835862,23.997788
2021-09-24,15:20:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,35,null,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.840314,24.043552
2021-10-01,7:30:00,п'ятниця,місто,Львів,Личаківський,вулиця,Пасічна,71,null,зіткнення з задньою частиною тз,порушення правил маневрування,5,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,49.821718,24.073352
2021-09-27,17:18:00,понеділок,місто,Львів,Шевченківський,вулиця,Липинського В.,13А,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.858215,24.024299
2021-10-05,17:44:00,вівторок,місто,Львів,Личаківський,вулиця,Глинянський Тракт,70,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,49.840183,24.085153
2021-10-07,9:30:00,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,132,null,зіткнення бокове,порушення правил маневрування,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,49.851097,23.991523
2021-10-08,9:40:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Шевченка Т.,24,null,наїзд на пішохода - на нерегульованому пішохідному переході,"керування транспортним засобом у нетверезому стані,порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,49.842957,24.015627
2021-09-27,11:10:00,понеділок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",16,null,зіткнення бокове,недодержання дистанції,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,49.83499,23.891396
2021-10-01,19:10:00,п'ятниця,місто,Львів,Франківський,вулиця,Житомирська,null,вул. Житомирська - вул. Антоновича В.,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.825879,23.990976
2021-09-23,20:01:00,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,121,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.811719,23.986995
2021-10-01,22:02:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Варшавська,125,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.864813,24.007562
2021-10-04,18:56:00,понеділок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",null,"Перехрестя Чорновола В.,просп. - вул. Хімічна",зіткнення бокове,"перевищення безпечної швидкості,порушення правил маневрування",4,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,49.853798,24.023173
2021-10-05,15:45:00,вівторок,місто,Львів,Галицький,вулиця,Вітовського Д.,55,null,наїзд на велосипедиста - велосипедист рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.831602,24.019648
2021-10-05,18:29:00,вівторок,місто,Львів,Личаківський,вулиця,Мечникова І.,6,null,зіткнення бокове,порушення правил маневрування,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,49.836861,24.054024
2021-10-05,21:30:00,вівторок,місто,Львів,Сихівський,вулиця,Пасічна,null,null,наїзд на пішохода,"перевищення безпечної швидкості,недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,49.813959,24.078212
2021-09-29,9:01:00,середа,місто,Львів,Личаківський,вулиця,Богданівська,44,null,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,49.851156,24.078019
2021-11-26,22:15:00,п'ятниця,місто,Львів,Сихівський,вулиця,Луганська,10,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.807874,24.051515
2021-11-17,17:55:00,середа,місто,Львів,Франківський,вулиця,Трускавецька,null,вул. Трускавецька - вул. Тролейбусна,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.797874,24.005105
2021-11-29,10:12:00,понеділок,місто,Львів,Франківський,вулиця,Антоновича В.,81,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.829568,23.997767
2021-11-20,6:09:00,субота,місто,Львів,Галицький,проспект,"Свободи, просп.",null,"Свободи, просп. - вул. Дорошенка П.",наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду перехресть,3,без ушкоджень,легко травмований,помер на місці дтп,null,null,null,null,49.840487,24.027894
2021-11-16,17:15:00,вівторок,місто,Львів,Залізничний,вулиця,Левандівська,10,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.848769,23.994731
2021-11-17,18:40:00,середа,місто,Львів,Шевченківський,вулиця,Чигиринська,7,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.869297,24.053482
2021-11-19,12:50:00,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,62,null,зіткнення бокове,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,49.804362,23.99501
2021-11-09,9:25:00,вівторок,місто,Львів,Личаківський,вулиця,Пекарська,50,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил проїзду пішохідних переходів,керування транспортним засобом у нетверезому стані",2,легко травмований,легко травмований,null,null,null,null,null,49.836616,24.043418
2021-11-29,17:05:00,понеділок,місто,Львів,Шевченківський,вулиця,Хімічна,null,"вул. Хімічна - Чорновола В., просп.",наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.853777,24.023259
2021-11-20,15:27:00,субота,місто,Львів,Залізничний,вулиця,Городоцька,null,Перехрестя Городоцька - Виговського І.,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.830592,23.968327
2021-11-14,0:30:00,неділя,місто,Львів,Галицький,площа,"Міцкевича А., пл.",null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.839532,24.029953
2021-11-08,6:58:00,понеділок,місто,Львів,Залізничний,вулиця,Сяйво,21,null,наїзд на інші види перешкод,"перевищення безпечної швидкості,керування транспортним засобом у нетверезому стані",1,легко травмований,null,null,null,null,null,null,49.840923,23.978385
2021-11-28,16:47:00,неділя,місто,Львів,Франківський,вулиця,Копистинського Т.,null,вул. Любінська - вул. Копистинського Т.,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,49.829242,23.98766
2021-11-29,2:28:00,понеділок,місто,Львів,Галицький,проспект,"Свободи, просп.",14,null,наїзд на пішохода - на регульованому пішохідному переході,"порушення правил маневрування,перехід у невстановленому місці",2,без ушкоджень,легко травмований,null,null,null,null,null,49.841006,24.027502
2021-11-08,16:50:00,понеділок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,386,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,49.871213,23.945523
2021-11-21,19:30:00,неділя,місто,Львів,Галицький,вулиця,Дорошенка П.,null,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,49.836861,24.021392
2021-11-26,7:14:00,п'ятниця,місто,Львів,Сихівський,вулиця,Луганська,9,null,зіткнення лобове,"перевищення безпечної швидкості,недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,49.808256,24.041358
2021-12-02,21:58:00,четвер,місто,Львів,Личаківський,вулиця,Туган-Барановського М.,32,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,49.83609,24.040098
2021-11-28,20:50:00,неділя,місто,Львів,Залізничний,вулиця,Виговського І.,100,null,наїзд на пішохода - на регульованому пішохідному переході,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.812832,23.978421
2021-11-26,9:55:00,п'ятниця,місто,Львів,Франківський,вулиця,Кульпарківська,93,null,зіткнення з задньою частиною тз,недодержання дистанції,4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,49.822911,23.98916
2021-11-13,15:39:00,субота,місто,Львів,Галицький,вулиця,Коперника М.,22,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.838218,24.026016
2021-12-01,15:35:00,середа,місто,Львів,Залізничний,вулиця,Городоцька,280/2,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",4,легко травмований,без ушкоджень,без ушкоджень,без ушкоджень,null,null,null,49.824037,23.930545
2021-11-16,19:04:00,вівторок,місто,Львів,Сихівський,вулиця,Угорська,null,"вул. Угорська - Червоної Калини, просп.",зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.810255,24.046197
2021-11-17,17:50:00,середа,місто,Львів,Залізничний,вулиця,Сорохтея О.,5,null,зіткнення бокове,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,49.844903,24.001825
2021-11-28,0:59:00,неділя,місто,Львів,Шевченківський,вулиця,Тунельна,2,null,зіткнення бокове,невиконання вимог сигналів регулювання,4,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,49.862209,24.003137
2021-11-10,11:59:00,середа,місто,Львів,Личаківський,вулиця,Зелена,172,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.816946,24.064334
2021-11-19,18:37:00,п'ятниця,місто,Львів,Франківський,вулиця,Кульпарківська,null,вул. Кульпарківська - Копистинського Т.,зіткнення бокове,"порушення правил маневрування,порушення правил проїзду перехресть",2,без ушкоджень,легко травмований,null,null,null,null,null,49.83063,23.990664
2021-11-22,20:48:00,понеділок,місто,Львів,Залізничний,вулиця,Кульпарківська,204,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.811274,23.983533
2021-11-22,19:56:00,понеділок,місто,Львів,Франківський,вулиця,Кульпарківська,93,null,наїзд на пішохода - на регульованому пішохідному переході,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.821473,23.988695
2021-11-20,14:40:00,субота,місто,Львів,Шевченківський,вулиця,"Чорновола В., просп.",12,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.857242,24.022604
2021-11-23,12:40:00,вівторок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,null,Перехрестя вул. Шевченка Т. - вул. о. Омеляна Ковча,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.853406,23.987108
2021-11-08,10:40:00,понеділок,місто,Львів,Шевченківський,вулиця,Варшавська,null,вул. Варшавська - вул. Замарстинівська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.870853,24.018967
2021-11-20,22:52:00,субота,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",109,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.784406,24.059367
2021-11-22,6:55:00,понеділок,місто,Львів,Сихівський,вулиця,Пасічна,null,Перехресття вул. Пасічна - вул. Пирогівка,зіткнення бокове,порушення правил проїзду перехресть,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,49.807264,24.07553
2021-11-26,20:33:00,п'ятниця,місто,Львів,Галицький,вулиця,Городоцька,null,ТЦ Магнус,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.844129,24.024262
2021-12-02,17:45:00,четвер,місто,Львів,Сихівський,вулиця,Луганська,null,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.808358,24.040575
2021-11-15,23:01:00,понеділок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",11,null,зіткнення бокове,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,49.834062,23.8919
2021-11-08,11:40:00,понеділок,місто,Львів,Залізничний,вулиця,Кульпарківська,226А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил проїзду пішохідних переходів,порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,49.804681,23.981121
2021-11-12,14:23:00,п'ятниця,місто,Львів,Залізничний,вулиця,Любінська,101,null,наїзд на пішохода - стояв на проїздній частині,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.82085,23.970596
2021-12-31,6:46:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,22,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,49.839885,24.040945
2021-12-25,10:16:00,субота,місто,Львів,Личаківський,площа,"Митна, пл.",2,null,падіння пасажира,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,49.839512,24.035795
2021-12-16,14:35:00,четвер,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",36,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.800658,24.046637
2021-12-30,20:36:00,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,61,null,зіткнення бокове,"недодержання дистанції,керування транспортним засобом у нетверезому стані",2,легко травмований,без ушкоджень,null,null,null,null,null,49.810376,23.99582
2021-12-28,16:47:00,вівторок,місто,Львів,Личаківський,вулиця,Богданівська,11,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.855555,24.075513
2021-12-30,16:01:00,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,null,null,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.810947,23.995042
2021-12-31,18:46:00,п'ятниця,місто,Львів,Галицький,вулиця,Дорошенка П.,25,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,49.839169,24.025324
2021-01-03,2:18:00,неділя,місто,Львів,Галицький,проспект,"Чорновола В., просп.",2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"неочікуваний вихід на проїзну частину,перехід у невстановленому місці",2,без ушкоджень,легко травмований,null,null,null,null,null,49.846455,24.02541
2021-01-10,19:57:00,неділя,місто,Львів,Шевченківський,вулиця,Окуневського Т.,3,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,49.858868,24.018007
2021-01-05,19:17:00,вівторок,місто,Львів,Франківський,вулиця,Опільського Ю.,9,null,наїзд на пішохода - на нерегульованому пішохідному переході,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.834315,24.004017
2021-01-09,18:30:00,субота,місто,Львів,Залізничний,вулиця,Кульпарківська,226А,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,помер на місці дтп,null,null,null,null,null,null,49.804712,23.980365
2021-01-02,11:56:00,субота,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",null,"вул. Стрийська - вул. Сахарова А.,акад.",наїзд на велосипедиста - велосипедист рухався у попутному напрямку,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.81985,24.020276
2021-01-16,12:38:00,субота,місто,Львів,Сихівський,вулиця,Сихівська,2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.795311,24.066469
