accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,latitude,longitude
2021-12-20,20:09:00,понеділок,місто,Львів,Франківський,вулиця,Кульпарківська,93,null,зіткнення бокове,перевищення безпечної швидкості,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.822972,23.989077
2021-12-13,11:40:00,понеділок,місто,Львів,Галицький,вулиця,Підвальна,6,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості,недодержання дистанції",5,без ушкоджень,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,49.843943,24.03373
2021-12-20,6:48:00,понеділок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",11,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.870635,24.032314
2021-12-04,1:10:00,субота,місто,Львів,Шевченківський,вулиця,Замарстинівська,174,null,зіткнення бокове,порушення правил проїзду перехресть,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,49.870725,24.019568
2021-12-11,11:20:00,субота,місто,Львів,Шевченківський,вулиця,"Кучера Р., акад.",null,"вул. Кучера Р., акад. - вул. Леонтовича М.",наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.843829,24.018302
2021-12-24,12:10:00,п'ятниця,місто,Львів,Франківський,вулиця,Городоцька,233,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.831921,23.97544
2021-12-13,10:26:00,понеділок,місто,Львів,Франківський,вулиця,Народна,10,null,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.832184,23.983975
2021-12-23,15:10:00,четвер,місто,Львів,Сихівський,вулиця,Тернопільська,9,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.816157,24.040725
2021-12-03,13:01:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Клепарівська,24,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.850114,24.015073
2021-12-18,19:30:00,субота,місто,Львів,Шевченківський,вулиця,Варшавська,null,вул. Варшавська - вул. Замарстинівська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.870936,24.019042
2021-12-03,22:47:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Лінкольна А.,6А,null,зіткнення бокове,перевищення безпечної швидкості,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.864429,24.028918
2021-12-03,19:57:00,п'ятниця,місто,Львів,Залізничний,вулиця,Бортнянського Д.,58,null,наїзд на пішохода,"порушення правил проїзду пішохідних переходів,керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,49.845638,23.99803
2021-12-15,11:27:00,середа,місто,Львів,Личаківський,вулиця,Грицька Чубая,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.834955,24.040328
2021-12-16,19:42:00,четвер,місто,Львів,Франківський,вулиця,Городоцька,187,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.834561,23.990471
2021-12-10,22:20:00,п'ятниця,місто,Львів,Сихівський,вулиця,Сихівська,46,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,49.793923,24.060423
2021-12-24,20:55:00,п'ятниця,місто,Львів,Галицький,вулиця,Руставелі Ш.,null,вул. Руставелі Ш. - вул. Франка І.,зіткнення,"порушення правил маневрування,недодержання дистанції",2,легко травмований,без ушкоджень,null,null,null,null,null,49.829344,24.032113
2021-12-27,12:10:00,понеділок,місто,Львів,Франківський,вулиця,Кульпарківська,null,вул. Кульпарківська - вул. Наукова,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.805754,23.981802
2021-12-19,17:01:00,неділя,місто,Львів,Сихівський,вулиця,Стуса В.,38,null,зіткнення бокове,"недодержання дистанції,порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,49.815322,24.044899
2021-12-06,16:55:00,понеділок,місто,Львів,Личаківський,вулиця,Хмельницького Б.,192Б,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил проїзду пішохідних переходів,керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,49.866175,24.054855
