accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2022-08-02,19:19:00,вівторок,місто,Львів,Залізничний,вулиця,Кульпарківська,122,null,зіткнення бокове,"порушення правил проїзду перехресть, керування транспортним засобом у нетверезому стані",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.81885,23.987736
2022-08-23,17:40:00,вівторок,місто,Львів,Галицький,проспект,"Свободи, просп.",7,null,наїзд на пішохода - на регульованому пішохідному переході,неочікуваний вихід на проїзну частину,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.840339,24.028022
2022-08-12,18:25:00,п'ятниця,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",36,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.798675,24.04925
2022-09-02,13:41:00,п'ятниця,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",30,null,зіткнення бокове,"перевищення безпечної швидкості, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.830305,24.014348
2022-09-01,20:57:00,четвер,місто,Львів,Франківський,вулиця,Кульпарківська,null,вул. Антоновича В. - вул. Кульпарківська,зіткнення бокове,невиконання вимог сигналів регулювання,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.825404,23.989769
2022-08-23,14:49:00,вівторок,місто,Львів,Галицький,вулиця,Куліша П.,47,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.848935,24.024337
2022-08-06,13:15:00,субота,місто,Львів,Залізничний,вулиця,Городоцька,302,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.825159,23.91082
2022-08-23,7:47:00,вівторок,місто,Львів,Залізничний,вулиця,Виговського І.,1,null,наїзд на велосипедиста - велосипедист рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.830533,23.968247
2022-08-24,9:42:00,середа,місто,Львів,Личаківський,вулиця,Пекарська,null,вул. Пекарська - вул. Мечникова І.,наїзд на пішохода - на нерегульованому пішохідному переході,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.833848,24.052017
2022-09-06,0:05:00,вівторок,місто,Львів,Сихівський,вулиця,Зелена,407,null,наїзд на інші види перешкод,"перевищення безпечної швидкості, недодержання дистанції, керування транспортним засобом у нетверезому стані",2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.784032,24.078104
