accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2022-11-15,7:30:00,вівторок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",11,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил маневрування,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.87058,24.032067
2022-11-24,19:37:00,четвер,місто,Львів,Франківський,вулиця,Наукова,51,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.804833,23.987317
2022-11-22,9:59:00,вівторок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",69,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.860155,24.019584
2022-11-22,7:10:00,вівторок,місто,Львів,Шевченківський,вулиця,Грінченка Б.,5,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.87143,24.053455
2022-11-05,12:39:00,субота,місто,Львів,Франківський,вулиця,Володимира Великого,51,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.810203,24.002316
2022-11-18,7:40:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,null,вул. Городоцька - вул. Самбірська,наїзд на пішохода - стояв на проїздній частині,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.829156,23.959857
2022-11-18,18:32:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Промислова,null,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.8607695,24.0436929
2022-11-27,22:10:00,неділя,місто,Львів,Сихівський,вулиця,Пимоненка М.,null,вул. Пимоненка М. - вул. Зелена,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.809123,24.061298
2022-10-26,19:04:00,середа,місто,Львів,Франківський,вулиця,Антоновича В.,140,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил маневрування, порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.825934,23.990981
2022-11-06,17:10:00,неділя,місто,Львів,Личаківський,вулиця,Хмельницького Б.,188а,null,зіткнення бокове,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.864073,24.0525
2022-11-06,0:16:00,неділя,місто,Винники,Личаківський,вулиця,Хмельницького Б.,null,поворот на озеро,зіткнення бокове,"керування транспортним засобом у нетверезому стані, недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.82052,24.1127
2022-11-24,8:14:00,четвер,селище,Брюховичі,Шевченківський,вулиця,Львівська,null,null,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.891595,23.979467
2022-11-10,19:01:00,четвер,місто,Львів,Сихівський,вулиця,Зелена,139,null,зіткнення бокове,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.817147,24.060616
2022-11-10,18:01:00,четвер,місто,Львів,Франківський,вулиця,Горбачевського І.,8,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.829277,24.008635
2022-11-01,18:50:00,вівторок,місто,Львів,Франківський,вулиця,Опільського Ю.,9,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.834339,24.003947
2022-10-29,9:42:00,субота,місто,Львів,Сихівський,проспект,"Святого Івана Павла ІІ, просп.",null,просп. Святого Івана Павла ІІ - вул. Стрийська,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.80189,24.018103
2022-11-11,17:47:00,п'ятниця,місто,Львів,Залізничний,вулиця,Гніздовського Я.,4,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.838847,23.969657
2022-11-24,14:01:00,четвер,місто,Львів,Сихівський,вулиця,Стуса В.,18,null,наїзд на пішохода - на нерегульованому пішохідному переході,"неочікуваний вихід на проїзну частину, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.818708,24.042066
2022-10-24,10:52:00,понеділок,місто,Львів,Залізничний,вулиця,Виговського І.,3,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил маневрування,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.829903,23.968198
2022-11-17,16:24:00,четвер,місто,Львів,Залізничний,вулиця,Гніздовського Я.,69,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.839953,23.969484
2022-10-25,8:41:00,вівторок,місто,Львів,Франківський,вулиця,Городоцька,203,null,зіткнення бокове,"перевищення безпечної швидкості, порушення правил маневрування",6,без ушкоджень,без ушкоджень,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.834132,23.987993
2022-10-22,14:19:00,субота,місто,Львів,Сихівський,вулиця,Зелена,281а,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.800401,24.067376
2022-11-09,20:06:00,середа,село,Збиранка,Шевченківський,вулиця,Нова,null,null,наїзд на інші види перешкод,"перевищення безпечної швидкості, керування транспортним засобом у нетверезому стані",2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.896601,24.019383
2022-10-26,8:03:00,середа,місто,Львів,Залізничний,вулиця,Садова,25,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.822245,23.983744
2022-11-21,7:46:00,понеділок,місто,Львів,Франківський,вулиця,Городоцька,177,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.83554,23.995889
2022-11-28,19:56:00,понеділок,місто,Львів,Франківський,вулиця,Героїв Упа,73,null,зіткнення бокове,порушення правил маневрування,5,без ушкоджень,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,49.828668,23.991469
2022-11-07,17:54:00,понеділок,місто,Львів,Залізничний,вулиця,Левандівська,16,null,наїзд на пішохода - на нерегульованому пішохідному переході,"порушення правил проїзду перехресть, перевищення безпечної швидкості, недодержання дистанції",2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.844767,23.984781
2022-11-15,19:04:00,вівторок,місто,Львів,Залізничний,вулиця,Збиральна,14,null,"наїзд на транспортний засіб, що стоїть - по ходу руху","недодержання дистанції, керування транспортним засобом у нетверезому стані",1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.825,23.917472
2022-10-29,13:52:00,субота,місто,Львів,Залізничний,вулиця,Любінська,null,вул. Любінська - вул. Петлюри С.,зіткнення бокове,"порушення правил маневрування, порушення правил проїзду перехресть",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.824093,23.977312
2022-11-26,20:48:00,субота,місто,Львів,Залізничний,вулиця,Кульпарківська,null,вул. Кульпарківська - вул. Садова,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.821404,23.988653
2022-11-13,12:07:00,неділя,місто,Львів,Личаківський,вулиця,Студентська,2,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.829242,24.045521
2022-11-03,16:01:00,четвер,місто,Львів,Франківський,вулиця,"Ісаєвича Я., акад.",5,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.820982,24.004768
2022-10-28,13:42:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,116,null,перекидання тз,перевищення безпечної швидкості,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.835284,23.994302
2022-11-05,12:53:00,субота,місто,Львів,Шевченківський,вулиця,Миколайчука І.,null,"вул. Миколайчука І. - вул. Мазепи І., гетьм.",наїзд на пішохода - на регульованому пішохідному переході,"порушення правил маневрування, порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.872246,24.042286
2022-11-20,14:54:00,неділя,місто,Львів,Личаківський,вулиця,Пасічна,84д,null,"наїзд на опори (леп, телефонних та телеграфних ліній, рекламоносіїв, щогли антен мобільного зв'язку, тощо)",порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.823169,24.074961
2022-11-19,15:30:00,субота,місто,Львів,Шевченківський,вулиця,Шевченка Т.,300,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.863381,23.962319
2022-10-03,15:01:00,понеділок,місто,Львів,Сихівський,вулиця,Стрийська,null,вул. Стрийська - вул. Гашека Я.,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.794245,24.016478
2022-11-04,12:22:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,218,null,наїзд на інші види перешкод,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.828851,23.95827
2022-11-28,11:13:00,понеділок,місто,Львів,Залізничний,вулиця,Сяйво,10,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.837045,23.978541
2022-11-07,19:40:00,понеділок,місто,Львів,Личаківський,вулиця,Шімзерів,12,null,наїзд на пішохода - на нерегульованому пішохідному переході,"перевищення безпечної швидкості, недодержання дистанції",2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.834689,24.052649
2022-10-25,20:05:00,вівторок,місто,Львів,Залізничний,вулиця,Широка,27,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил маневрування,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,49.842421,23.976604
2022-02-02,18:08:00,середа,місто,Львів,Франківський,вулиця,Кульпарківська,18,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.818819,23.987793
2022-03-11,16:46:00,п'ятниця,місто,Львів,Сихівський,вулиця,Гашека Я.,17,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.797306,24.021118
2022-01-27,13:09:00,четвер,місто,Львів,Франківський,вулиця,Симоненка В.,1,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.810269,23.988036
2022-02-02,9:30:00,середа,місто,Львів,Галицький,проспект,"Свободи, просп.",null,просп. Свободи - вул. Коперника М.,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839484,24.029079
2022-02-22,13:12:00,вівторок,місто,Винники,Личаківський,вулиця,Соборності,5,null,перекидання тз,"перевищення безпечної швидкості, керування транспортним засобом у нетверезому стані",1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.811866,24.14342
2022-02-04,8:10:00,п'ятниця,місто,Львів,Залізничний,вулиця,Кульпарківська,null,вул. Кульпарківська - вул. Садова,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.821442,23.988562
2022-02-18,18:12:00,п'ятниця,місто,Львів,Залізничний,вулиця,Любінська,null,вул. Любінська - вул. Виговського І.,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.820656,23.968978
2022-01-04,10:12:00,вівторок,місто,Львів,Галицький,вулиця,Городоцька,63,null,наїзд на пішохода - стояв на проїздній частині,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.842034,24.016854
2022-02-12,4:44:00,субота,місто,Львів,Галицький,проспект,"Свободи, просп.",15,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.841193,24.027411
2022-01-29,5:30:00,субота,місто,Львів,Шевченківський,вулиця,Шевченка Т.,295,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,неочікуваний вихід на проїзну частину,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.860829,23.968209
2022-02-10,9:30:00,четвер,місто,Львів,Франківський,вулиця,Кульпарківська,null,вул. Кульпарківська - вул. Копистинського Т.,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.828855,23.990182
2022-02-24,17:30:00,четвер,місто,Львів,Личаківський,вулиця,Личаківська,24,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839906,24.041626
2022-01-31,14:54:00,понеділок,село,Великі Грибовичі,Шевченківський,вулиця,Дублянська,null,null,зіткнення бокове,невиконання вимог сигналів регулювання,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.911357,24.053868
2022-02-16,20:02:00,середа,місто,Львів,Галицький,вулиця,Зелена,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості, пішохід у нетверезому стані, пішоходи невиконання вимог сигналів регулювання",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.82356,24.052076
2022-01-28,20:33:00,п'ятниця,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",100,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.785916,24.057505
2022-02-18,4:20:00,п'ятниця,місто,Львів,Галицький,вулиця,Городоцька,125,null,наїзд на пішохода - пішохід рухався у попутному напрямку,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.837612,24.005942
2022-02-18,23:57:00,п'ятниця,місто,Львів,Сихівський,вулиця,Сихівська,16а,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.794608,24.064409
2022-02-11,16:59:00,п'ятниця,місто,Львів,Сихівський,вулиця,Дністерcька,17,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.81689,24.052044
2022-03-07,19:40:00,понеділок,місто,Львів,Франківський,вулиця,Стрийська,104,null,зіткнення бокове,недодержання дистанції,4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.807626,24.018512
2022-02-11,18:01:00,п'ятниця,місто,Львів,Франківський,вулиця,Кульпарківська,20,null,наїзд на пішохода - на нерегульованому пішохідному переході,"порушення правил маневрування, порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.831685,23.990761
2022-01-27,18:30:00,четвер,місто,Львів,Залізничний,вулиця,Бортнянського Д.,null,null,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.845492,24.002217
2022-01-30,0:58:00,неділя,місто,Львів,Галицький,проспект,"Свободи, просп.",22,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.843798,24.026847
2022-02-12,20:58:00,субота,місто,Львів,Галицький,проспект,"Чорновола В., просп.",21,null,зіткнення бокове,перевищення безпечної швидкості,4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.847406,24.025581
2022-02-17,16:22:00,четвер,місто,Львів,Галицький,вулиця,Городоцька,7,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.845178,24.020759
2022-02-11,20:54:00,п'ятниця,місто,Львів,Залізничний,вулиця,Роксоляни,29,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.846645,23.962035
2022-03-15,13:26:00,вівторок,місто,Львів,Залізничний,вулиця,Кульпарківська,115,null,зіткнення бокове,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.812328,23.983648
2022-02-09,8:01:00,середа,селище,Брюховичі,Шевченківський,вулиця,Незалежності України,null,null,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.903936,23.939638
2022-02-10,6:30:00,четвер,місто,Львів,Шевченківський,вулиця,Липинського В.,44,null,зіткнення бокове,"перевищення безпечної швидкості, невиконання вимог сигналів регулювання",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.863557,24.033279
2022-02-17,1:44:00,четвер,місто,Львів,Личаківський,площа,"Митна, пл.",null,null,зіткнення бокове,"порушення правил маневрування, керування транспортним засобом у нетверезому стані",3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.839325,24.03609
2022-01-28,1:29:00,п'ятниця,село,Підбірці,Личаківський,вулиця,Глинянський Тракт,null,null,перекидання тз,перевищення безпечної швидкості,2,помер на місці дтп,тяжко травмований,null,null,null,null,null,null,null,null,null,49.841994,24.144136
2022-02-01,16:20:00,вівторок,місто,Львів,Франківський,вулиця,Перфецького Л.,null,вул. Перфецького Л. - вул. Кульпарківська,зіткнення,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.815001,23.985699
2022-02-16,15:26:00,середа,місто,Львів,Франківський,вулиця,Наукова,18,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.804684,24.001817
2022-01-26,19:40:00,середа,місто,Львів,Шевченківський,вулиця,Шевченка Т.,358а,null,зіткнення бокове,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.868321,23.951365
2022-01-27,14:01:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,126,null,зіткнення бокове,перевищення безпечної швидкості,11,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,49.834751,23.991378
2022-02-13,17:49:00,неділя,місто,Львів,Залізничний,вулиця,Бортнянського Д.,null,вул. Бортнянського Д. - вул. Сорохтея О.,наїзд на пішохода - на регульованому пішохідному переході,"порушення правил проїзду пішохідних переходів, порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.845275,24.001999
2022-02-24,12:40:00,четвер,місто,Львів,Галицький,вулиця,Шпитальна,20,null,наїзд на пішохода - на регульованому пішохідному переході,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.844725,24.021832
2022-02-09,18:05:00,середа,місто,Львів,Личаківський,вулиця,Лисеницька,13,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.816326,24.08305
2022-02-17,20:31:00,четвер,місто,Львів,Галицький,вулиця,Ярослава Мудрого,2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил проїзду перехресть, порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.840342,24.012106
2022-06-30,22:33:00,четвер,село,Малехів,Шевченківський,вулиця,Київська,null,Близенько,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.883796,24.075422
2022-06-14,19:50:00,вівторок,місто,Львів,Шевченківський,вулиця,Липинського В.,59,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.864816,24.040146
2022-06-23,11:51:00,четвер,місто,Львів,Сихівський,вулиця,Стрийська,45а,null,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил маневрування,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,49.801883,24.018039
2022-07-04,19:10:00,понеділок,місто,Львів,Шевченківський,вулиця,Миколайчука І.,38,null,перекидання тз,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.880652,24.033957
2022-07-23,22:10:00,субота,село,Малі Підліски,Шевченківський,null,null,null,блокпост,наїзд на інші види перешкод,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.920449,24.161081
2022-07-05,17:57:00,вівторок,селище,Рудне,Залізничний,вулиця,Галицька,66,null,наїзд на пішохода - стояв на проїздній частині,порушення правил зупинки і стоянки транспортного засобу,1,тяжко травмований,null,null,null,null,null,null,null,null,null,null,49.839301,23.858952
2022-07-22,12:19:00,п'ятниця,місто,Львів,Франківський,вулиця,Кульпарківська,3,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,"перехід у невстановленому місці, неочікуваний вихід на проїзну частину",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.834194,23.990868
2022-07-03,23:07:00,неділя,місто,Львів,Личаківський,вулиця,Пасічна,88,null,наїзд на інші види перешкод,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.818549,24.076589
2022-07-22,22:24:00,п'ятниця,місто,Львів,Франківський,вулиця,Кульпарківська,78,null,зіткнення бокове,"недодержання дистанції, порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.825404,23.989769
2022-07-11,11:17:00,понеділок,місто,Львів,Галицький,площа,"Святого Юра, пл.",3/4,null,"наїзд на транспортний засіб, що стоїть - по ходу руху","порушення правил маневрування, перевищення безпечної швидкості",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.837329,24.012498
2022-06-25,20:49:00,субота,місто,Дубляни,Шевченківський,вулиця,Львівська,10,null,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,помер у лікарні протягом 30 діб,легко травмований,null,null,null,null,null,null,null,null,49.88952,24.089708
2022-07-12,13:49:00,вівторок,місто,Львів,Шевченківський,вулиця,Липинського В.,6,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.856233,24.019858
2022-07-11,18:20:00,понеділок,місто,Львів,Галицький,вулиця,Костюшка Т.,null,вул. Костюшка Т. - вул. Дорошенка П.,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839169,24.02534
2022-07-16,14:50:00,субота,місто,Львів,Залізничний,вулиця,Городоцька,247,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.830789,23.970226
2022-07-21,19:47:00,четвер,місто,Львів,Сихівський,вулиця,Стрийська,61,null,зіткнення бокове,"невиконання вимог сигналів регулювання, перевищення встановленої швидкості",2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.79537,24.016655
2022-06-10,17:31:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,49,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.840653,24.046889
2022-06-04,10:01:00,субота,місто,Львів,Личаківський,площа,"Митна, пл.",null,null,падіння пасажира,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.839408,24.035747
2022-06-15,8:01:00,середа,місто,Львів,Сихівський,вулиця,Хоткевича Г.,null,null,падіння пасажира,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.798345,24.039073
2022-06-15,16:55:00,середа,місто,Львів,Личаківський,вулиця,Богданівська,42,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,49.855458,24.075637
2022-06-12,18:52:00,неділя,місто,Львів,Сихівський,вулиця,Мирного Панаса,32,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.814897,24.032464
2022-06-28,17:50:00,вівторок,селище,Брюховичі,Шевченківський,вулиця,Львівська,null,вул. Львівська - вул Курортна,зіткнення бокове,перевищення безпечної швидкості,3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.904109,23.960248
2022-06-13,13:31:00,понеділок,місто,Львів,Залізничний,вулиця,Кульпарківська,226а,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.806658,23.979186
2022-07-22,16:55:00,п'ятниця,місто,Львів,Личаківський,вулиця,Водогінна,2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.827664,24.044668
2022-06-24,21:52:00,п'ятниця,місто,Львів,Галицький,проспект,"Свободи, просп.",null,"просп. Свободи - вул. Гнатюка В., акад.",падіння пасажира,"перевищення безпечної швидкості, недодержання дистанції, керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.84128,24.027293
2022-07-12,12:01:00,вівторок,місто,Львів,Шевченківський,вулиця,Замарстинівська,197,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.870158,24.020834
