accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,injuryStatusParticipant12,injuryStatusParticipant13,injuryStatusParticipant14,injuryStatusParticipant15,injuryStatusParticipant16,injuryStatusParticipant17,injuryStatusParticipant18,injuryStatusParticipant19,injuryStatusParticipant20,latitude,longitude
2019-04-02,18:31:00,вівторок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",68,null,наїзд на пішохода - на регульованому пішохідному переході,перевищення безпечної швидкості,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.790006,24.058717
2019-05-12,6:50:00,неділя,місто,Львів,Шевченківський,вулиця,Варшавська,126,null,зіткнення лобове,недодержання дистанції,2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.865411,24.010824
2019-04-16,15:07:00,вівторок,місто,Львів,Галицький,вулиця,Вітовського Д.,null,Трамвайна зупинка,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.829761,24.025973
2019-04-18,7:43:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,214,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.829194,23.960028
2019-04-03,14:01:00,середа,місто,Львів,Франківський,вулиця,Городоцька,202,null,"наїзд на транспортний засіб, що стоїть - по ходу руху","перевищення безпечної швидкості, недодержання дистанції",4,без ушкоджень,легко травмований,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.834714,23.990208
2019-04-01,16:39:00,понеділок,місто,Львів,Сихівський,вулиця,Стрийська,109,null,зіткнення з задньою частиною тз,перевищення безпечної швидкості,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.786938,24.014815
2019-04-17,16:10:00,середа,місто,Львів,Личаківський,вулиця,Личаківська,77,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.839795,24.050081
2019-04-17,8:40:00,середа,місто,Львів,Сихівський,вулиця,Вашингтона Дж.,4В,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.816029,24.065305
2019-04-17,4:10:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,null,Перехрестя вул. Княгині Ольги - вул. Володимира Великого,"наїзд на транспортний засіб, що стоїть - по ходу руху","недодержання дистанції, перевищення безпечної швидкості",3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.810725,24.000127
2019-04-05,4:45:00,п'ятниця,місто,Львів,Залізничний,вулиця,Виговського І.,25,null,"наїзд на дорожний знак, бордюрний камінь",недодержання дистанції,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.84532,24.04562
2019-05-12,23:15:00,неділя,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,105,null,зіткнення лобове,"порушення правил маневрування, порушення правил проїзду перехресть",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.853127,24.035833
2019-05-13,13:08:00,понеділок,місто,Львів,Галицький,вулиця,Стуса В.,18,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.821355,24.039513
2019-05-11,16:16:00,субота,місто,Львів,Франківський,вулиця,Стрийська,338,null,наїзд на пішохода - пішохід переходив дорогу поза межами пішохідного переходу,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.784302,24.014037
2019-04-07,10:46:00,неділя,місто,Львів,Галицький,вулиця,Скельна,3,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.832561,24.034363
2019-04-19,0:33:00,п'ятниця,місто,Львів,Сихівський,вулиця,Сихівська,null,вул. Сихівська - вул. Морозна,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.795318,24.068111
2019-04-30,22:01:00,вівторок,місто,Львів,Сихівський,вулиця,Хуторівка,null,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.801973,24.045999
2019-04-05,20:09:00,п'ятниця,місто,Львів,Галицький,вулиця,"Міцкевича А., пл.",1,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.839141,24.030345
2019-04-12,21:25:00,п'ятниця,місто,Львів,Личаківський,вулиця,Богданівська,10,null,наїзд на дерево,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.841646,24.086671
2019-04-24,9:55:00,середа,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",57,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.856129,24.021821
2019-04-28,23:01:00,неділя,місто,Львів,Шевченківський,вулиця,Грінченка Б.,5,null,наїзд на пішохода - на регульованому пішохідному переході,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.871382,24.053568
2019-04-24,13:40:00,середа,місто,Львів,Сихівський,вулиця,Хоткевича Г.,5,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.943669,24.376284
2019-04-21,9:01:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,226,null,зіткнення з задньою частиною тз,порушення правил маневрування,4,легко травмований,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.827415,23.950152
2019-04-26,9:10:00,п'ятниця,місто,Львів,Сихівський,вулиця,Пасічна,169,null,падіння пасажира,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.807201,24.07524
2019-04-28,21:01:00,неділя,місто,Львів,Франківський,вулиця,Наукова,null,вул. Наукова -  вул. Стрийська,зіткнення бокове,"перевищення безпечної швидкості, порушення правил маневрування, недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.80189,24.017916
2019-04-08,13:09:00,понеділок,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,null,наїзд на пішохода - стояв на проїздній частині,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.800672,24.027808
2019-06-16,8:43:00,неділя,місто,Львів,Сихівський,вулиця,Луганська,null,АЗС WOG,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.811423,24.02309
2019-05-14,16:01:00,вівторок,місто,Львів,Залізничний,вулиця,Петлюри С.,37А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.819421,23.981068
2019-06-22,10:01:00,субота,місто,Львів,Франківський,вулиця,Пастернака Я.,null,Перехрестя вул. Пастернака Я. - вул. Федьковича Ю.,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.833097,23.999087
2019-05-28,15:20:00,вівторок,місто,Львів,Залізничний,вулиця,Сяйво,23,null,наїзд на пішохода - пішохід рухався у попутному напрямку,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.837438,23.977016
2019-05-26,22:15:00,неділя,місто,Львів,Шевченківський,вулиця,Замарстинівська,null,Перехрестя вул. Замарстинівська - вул. Варшавська,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.870895,24.019053
2019-05-16,15:26:00,четвер,місто,Львів,Франківський,вулиця,Героїв Майдану,10,null,зіткнення лобове,порушення правил маневрування,4,без ушкоджень,без ушкоджень,тяжко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.829869,24.018388
2019-05-29,18:10:00,середа,місто,Львів,Сихівський,вулиця,Бережанська,null,Перехрестя вул. Бережанська - вул. Хуторівка,зіткнення бокове,перевищення безпечної швидкості,3,без ушкоджень,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.802749,24.048262
2019-06-09,23:32:00,неділя,місто,Львів,Сихівський,вулиця,Сихівська,23,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.79634,24.060273
2019-06-17,21:50:00,понеділок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,275,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.874622,24.059479
2019-05-19,17:30:00,неділя,місто,Львів,Сихівський,вулиця,Стрийська,57,null,наїзд на велосипедиста - поза межами велосипедної доріжки,виїзд на смугу зустрічного руху,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.798511,24.017342
2019-05-31,20:15:00,п'ятниця,місто,Львів,Галицький,вулиця,Франка І.,44,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.832696,24.033827
2019-06-01,0:16:00,субота,місто,Львів,Франківський,вулиця,Стрийська,45,null,перекидання тз,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.807707,24.019085
2019-06-06,10:20:00,четвер,місто,Львів,Залізничний,вулиця,Кульпарківська,93,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.820383,23.988299
2019-06-21,18:35:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,75,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.839826,24.050049
2019-05-24,18:30:00,п'ятниця,місто,Львів,Залізничний,вулиця,Петлюри С.,null,Перехрестя вул. Петлюри С. - вул. Любінська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.824087,23.977423
2019-05-21,14:20:00,вівторок,місто,Львів,Сихівський,вулиця,Луганська,null,Перехрестя вул. Луганська - вул. Стрийська,зіткнення лобове,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.812207,24.019482
2019-06-09,17:50:00,неділя,місто,Львів,Сихівський,вулиця,Стрийська,57,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.798546,24.017304
2019-06-10,19:30:00,понеділок,місто,Львів,Залізничний,вулиця,Кульпарківська,226А,null,зіткнення лобове,невиконання вимог сигналів регулювання,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.806342,23.977391
2019-06-14,22:41:00,п'ятниця,місто,Львів,Галицький,вулиця,Франка І.,71,null,падіння пасажира,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.830294141313345,24.032355116087402
2019-06-17,20:01:00,понеділок,місто,Львів,Сихівський,вулиця,Зубрівська,null,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.796821,24.061153
2019-06-19,12:01:00,середа,місто,Львів,Залізничний,вулиця,Городоцька,240,null,зіткнення бокове,"перевищення безпечної швидкості, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.82654,23.945577
2019-06-17,17:53:00,понеділок,місто,Львів,Личаківський,вулиця,Тарасівська,5,null,зіткнення лобове,виїзд на смугу зустрічного руху,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.848852,24.085722
2019-05-20,8:30:00,понеділок,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,null,зіткнення лобове,недодержання дистанції,2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.797077,24.035011
2019-05-21,14:40:00,вівторок,місто,Львів,Галицький,вулиця,Замкнена,1,null,зіткнення лобове,перевищення безпечної швидкості,8,без ушкоджень,без ушкоджень,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,49.84128,24.015453
2019-06-04,9:40:00,вівторок,місто,Львів,Залізничний,вулиця,Насінна,24,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.82048,23.975918
2019-05-22,13:08:00,середа,місто,Львів,Личаківський,вулиця,Франка І.,39,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.833505,24.034063
2019-05-21,14:40:00,вівторок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,188,null,зіткнення лобове,"перевищення безпечної швидкості, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.863056,24.051594
2019-06-07,10:42:00,п'ятниця,місто,Львів,Франківський,вулиця,Горбачевського І.,23,null,наїзд на пішохода - пішохід переходив дорогу поза межами пішохідного переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.828194,24.010057
2019-06-18,18:01:00,вівторок,місто,Львів,Личаківський,вулиця,Зелена,73,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.821203,24.055445
2019-05-15,10:40:00,середа,місто,Львів,Галицький,вулиця,Підвальна,null,Перехрестя вул. Підвальна - вул. Руська  ,зіткнення бокове,недодержання дистанції,2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.8421,24.035
2019-05-15,14:49:00,середа,місто,Львів,Сихівський,вулиця,Луганська,null,null,"наїзд на пішохода - пішоходний перехід, тз здійснював поворот вліво (вправо)",порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.808261,24.040146
2019-06-11,17:10:00,вівторок,місто,Львів,Галицький,вулиця,Гоголя М.,1,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,перевищення встановленої швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.839674,24.01872
2019-06-20,18:10:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,289,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.829384,23.9613
2019-06-12,20:14:00,середа,місто,Львів,Залізничний,вулиця,Морозенка Н.,22,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.841217,24.007364
2019-05-31,23:10:00,п'ятниця,місто,Львів,Галицький,вулиця,Городоцька,117,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.838003,24.006549
2019-06-12,15:03:00,середа,місто,Львів,Франківський,вулиця,Горбачевського І.,4,null,зіткнення лобове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.829692,24.008131
2019-06-19,9:05:00,середа,місто,Львів,Залізничний,площа,"Двірцева, пл.",2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.839477,23.994377
2019-06-20,19:30:00,четвер,місто,Львів,Залізничний,вулиця,Кульчицької О.,1,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.818071,23.975392
2019-06-02,16:20:00,неділя,місто,Львів,Франківський,вулиця,Наукова,35А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.803549,23.996903
2019-06-03,8:30:00,понеділок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",null,"Перехрестя Чорновола В.,просп. - вул. Хімічна",падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.857367,24.021177
2019-05-20,14:25:00,понеділок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,137,null,зіткнення бокове,невиконання вимог сигналів регулювання,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.85367,24.040264
2019-06-13,23:20:00,четвер,місто,Львів,Залізничний,вулиця,Блажкевич І.,null,Перехрестя вул. Блажкевич І. - вул. Суботівська,зіткнення бокове,перевищення безпечної швидкості,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.848527,23.965795
2019-05-28,23:21:00,вівторок,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,null,наїзд на пішохода - стояв на проїздній частині,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.799854,24.026542
2019-05-15,12:30:00,середа,місто,Львів,Личаківський,вулиця,Левицького К.,30,null,зіткнення лобове,перевищення безпечної швидкості,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.834851,24.039255
2019-06-19,19:01:00,середа,місто,Львів,Личаківський,вулиця,Хмельницького Б.,289,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.874694,24.061464
2019-06-17,20:48:00,понеділок,місто,Львів,Сихівський,вулиця,Скорини Ф.,44,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.798753,24.024122
2019-05-16,0:15:00,четвер,місто,Львів,Залізничний,вулиця,Любінська,96,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.823567,23.976148
2019-06-19,7:45:00,середа,місто,Львів,Залізничний,вулиця,Сяйво,21,null,зіткнення лобове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.841075,23.978444
2019-05-24,13:17:00,п'ятниця,місто,Львів,Залізничний,вулиця,Виговського І.,100,null,зіткнення лобове,невиконання вимог сигналів регулювання,4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.812124,23.982849
2019-06-05,23:32:00,середа,місто,Львів,Залізничний,вулиця,Кульпарківська,78,null,зіткнення лобове,"перевищення безпечної швидкості, невиконання вимог сигналів регулювання",4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.815253,23.984635
2019-06-19,19:20:00,середа,місто,Львів,Шевченківський,вулиця,Тичини П.,11,null,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.86745,24.034034
2019-05-24,17:01:00,п'ятниця,місто,Львів,Залізничний,вулиця,Широка,9Б,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.842179,23.971846
2019-05-17,7:30:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,2,null,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.839757,24.037651
2019-05-25,18:01:00,субота,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",24,null,зіткнення лобове,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.871842,24.03977
2019-06-10,20:20:00,понеділок,місто,Львів,Сихівський,вулиця,Мишуги О.,8,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.817854,24.036048
2019-04-15,0:25:00,понеділок,місто,Львів,Залізничний,вулиця,Кульпарківська,null,Перехрестя вул. Кульпарківська - вул. Виговського І.,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.812082,23.983305
2019-05-27,17:01:00,понеділок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",null,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.858654,24.020587
2019-05-16,9:01:00,четвер,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",15А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.870915,24.034224
2019-05-21,0:15:00,вівторок,місто,Львів,Галицький,проспект,"Чорновола В., просп.",7,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.846133,24.025303
2019-05-20,23:55:00,понеділок,місто,Львів,Сихівський,вулиця,Сихівська,16А,null,зіткнення бокове,"порушення правил проїзду перехресть, керування транспортним засобом у нетверезому стані",2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.794577,24.064177
2019-05-18,16:50:00,субота,місто,Львів,Сихівський,вулиця,Хуторівка,4,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.800717,24.027159
2019-06-13,18:45:00,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,386,null,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.870314,23.946177
2019-05-16,17:20:00,четвер,місто,Львів,Галицький,вулиця,Стуса В.,18А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.820992,24.039744
2019-06-24,22:49:00,понеділок,місто,Львів,Сихівський,вулиця,Зелена,298,null,зіткнення бокове,"перевищення безпечної швидкості, порушення правил маневрування, керування транспортним засобом у нетверезому стані",3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.792167,24.074317
2019-05-22,21:05:00,середа,місто,Львів,Личаківський,вулиця,Пасічна,83,null,зіткнення лобове,"перевищення безпечної швидкості, недодержання дистанції",2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.817243,24.077085
2019-06-13,20:20:00,четвер,місто,Львів,Франківський,вулиця,Героїв УПА,73,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості, недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.829125,23.992462
2019-06-01,19:15:00,субота,місто,Львів,Франківський,вулиця,Тролейбусна,8,null,зіткнення лобове,"порушення правил маневрування, порушення правил проїзду перехресть",2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.806388,24.007144
2019-06-01,9:09:00,субота,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",68,null,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.790252,24.058691
