accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,injuryStatusParticipant12,injuryStatusParticipant13,injuryStatusParticipant14,injuryStatusParticipant15,injuryStatusParticipant16,injuryStatusParticipant17,injuryStatusParticipant18,injuryStatusParticipant19,injuryStatusParticipant20,latitude,longitude
2019-01-10,17:03:00,четвер,місто,Львів,Франківський,вулиця,Городоцька,160,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.831893,23.975478
2019-01-14,11:01:00,понеділок,місто,Львів,Личаківський,вулиця,Зелена,33,null,падіння пасажира,порушення правил маневрування,5,без ушкоджень,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.830083,24.038778
2019-01-10,23:10:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,239,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.831633,23.973933
2019-01-02,14:07:00,середа,місто,Львів,Галицький,вулиця,Дорошенка П.,13,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.839817,24.026823
2019-01-29,15:30:00,вівторок,місто,Винники,Личаківський,вулиця,Галицька,null,null,наїзд на пішохода - стояв на проїздній частині,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.817469,24.145959
2019-01-12,22:20:00,субота,місто,Львів,Залізничний,вулиця,Кульпарківська,230,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.802465,23.980601
2019-01-17,15:20:00,четвер,місто,Львів,Личаківський,вулиця,Левицького К.,26,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.835024,24.038837
2019-01-02,23:50:00,середа,місто,Львів,Шевченківський,вулиця,Промислова,null,Перехрестя вул. Промислова - вул. Липинського В.,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.865202,24.044433
2019-02-11,21:20:00,понеділок,місто,Львів,Личаківський,вулиця,Личаківська,71А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.83983,24.049882
2019-01-16,12:01:00,середа,місто,Львів,Залізничний,вулиця,Городоцька,300,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.821577,23.918336
2019-01-02,10:20:00,середа,місто,Львів,Личаківський,вулиця,Богданівська,44,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.855534,24.075449
2019-01-27,13:45:00,неділя,місто,Львів,Франківський,вулиця,Городоцька,160,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.831934,23.975419
2019-02-11,2:05:00,понеділок,місто,Львів,Залізничний,вулиця,Ярослава Мудрого,16,null,наїзд на інші види перешкод,порушення правил маневрування,3,легко травмований,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.841567,24.010609
2019-02-12,17:30:00,вівторок,місто,Львів,Залізничний,вулиця,Кульпарківська,226А,null,зіткнення лобове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.806897,23.979512
