accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,latitude,longitude
2017-05-03,16:20:00,середа,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",23,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.872744,24.037823
2017-05-07,3:16:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,300,null,наїзд на інші види перешкод,null,2,тяжко травмований,тяжко травмований,null,null,null,null,null,null,null,49.821099,23.916174
2017-05-08,11:30:00,понеділок,місто,Львів,Галицький,вулиця,Франка І.,73,null,наїзд на пішохода - на нерегульованому пішохідному переході,null,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,49.829934,24.031037
2017-05-06,15:01:00,субота,місто,Львів,Сихівський,вулиця,Зелена,299,null,зіткнення лобове,null,3,без ушкоджень,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.798411,24.07127
2017-04-28,15:57:00,п'ятниця,місто,Львів,Личаківський,вулиця,Глинянський Тракт,null,null,падіння пасажира,null,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.840653,24.094155
2017-04-28,12:30:00,п'ятниця,місто,Львів,Галицький,вулиця,Дорошенка П.,42,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,null,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.837567,24.02269
2017-05-06,17:20:00,субота,місто,Львів,Франківський,вулиця,"Чупринки Т., ген.",16,null,наїзд на пішохода - на регульованому пішохідному переході,null,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,49.833453,24.014279
2017-05-04,19:01:00,четвер,місто,Львів,Сихівський,вулиця,Рахівська,null,"Перехрестя вул. Рахівська - Червоної Калини, просп.",наїзд на велосипедиста - велосипедист рухався у попутному напрямку,null,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,49.806059,24.046787
2017-05-02,10:01:00,вівторок,місто,Львів,Шевченківський,вулиця,Миколайчука І.,null,null,падіння пасажира,null,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.879593,24.03447
2017-05-04,14:15:00,четвер,місто,Львів,Галицький,вулиця,Городоцька,76,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,null,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.838553,24.008024
2017-05-10,14:55:00,середа,місто,Львів,Шевченківський,вулиця,Шевченка Т.,316,null,зіткнення бокове,null,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.86418,23.960205
2017-05-12,12:40:00,п'ятниця,місто,Львів,Франківський,вулиця,Любінська,50,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,тяжко травмований,,null,null,null,null,null,null,null,49.828169,23.984946
2017-05-07,17:40:00,неділя,місто,Львів,Шевченківський,вулиця,Миколайчука І.,20,null,наїзд на інші види перешкод,"керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.878137,24.03815
2017-05-10,14:35:00,середа,місто,Львів,Шевченківський,вулиця,Липинського В.,54,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.864837,24.041348
